step,tokens_processed,split,loss,perplexity,wallclock_sec
1,2560,train,9.267386341094971,10587.044769887758,1.2092556953430176
1,2560,valid,9.269313097000122,10607.463085154268,1.2093451023101807
250,640000,train,4.394852924346924,81.032711947235,6.89773154258728
250,640000,valid,4.341085886955261,76.79088029587325,6.897817373275757
500,1280000,train,3.9196422815322878,50.3824188324865,12.840769052505493
500,1280000,valid,3.873757839202881,48.122884788866834,12.840847730636597
750,1920000,train,3.7163649201393127,41.11466704042021,18.694296836853027
750,1920000,valid,3.690619778633118,40.06967359051101,18.694369554519653
1000,2560000,train,3.724687063694,41.45825692085943,25.427812576293945
1000,2560000,valid,3.709723401069641,40.84250797046017,25.42790174484253
1250,3200000,train,3.75494225025177,42.7317519913762,31.092207193374634
1250,3200000,valid,3.7214211225509644,41.32307755794066,31.093189477920532
1500,3840000,train,3.9261225938796995,50.70997282313754,36.570236682891846
1500,3840000,valid,3.889498734474182,48.88637532630272,36.57031464576721
1750,4480000,train,4.080119967460632,59.152565807341546,42.21059703826904
1750,4480000,valid,3.98861882686615,53.98028173726944,42.21068263053894
2000,5120000,train,4.157023632526398,63.881105719961504,48.008971214294434
2000,5120000,valid,4.099441993236542,60.30662670115091,48.00905227661133
2250,5760000,train,4.403340983390808,81.72344975524263,53.52816939353943
2250,5760000,valid,4.39825656414032,81.3089880155795,53.52825474739075
2500,6400000,train,4.3925868511199955,80.84929378616708,58.93331956863403
2500,6400000,valid,4.39087073802948,80.71066623903788,58.93339705467224
2750,7040000,train,4.249966144561768,70.10303893740704,64.27873873710632
2750,7040000,valid,4.2853487730026245,72.62787294426698,64.27882194519043
3000,7680000,train,4.429807424545288,83.91525533570395,69.63032603263855
3000,7680000,valid,4.4970136165618895,89.74870663943594,69.63040781021118
3250,8320000,train,4.0597892045974735,57.96209164866432,75.10461854934692
3250,8320000,valid,4.073056900501252,58.73623927607784,75.10469889640808
3500,8960000,train,4.073574519157409,58.76665011925058,80.41583728790283
3500,8960000,valid,4.051492607593536,57.48319289475433,80.41591477394104
3750,9600000,train,4.003759646415711,54.803806127074324,85.77085995674133
3750,9600000,valid,3.9492209196090697,51.894920766349856,85.77093648910522
4000,10240000,train,3.8061702966690065,44.977856760262846,91.0971155166626
4000,10240000,valid,3.7107226133346556,40.8833387012445,91.09719848632812
4250,10880000,train,3.7680729031562805,43.29654774843035,96.5774736404419
4250,10880000,valid,3.8093127489089964,45.11941983809994,96.57755613327026
4500,11520000,train,3.81302752494812,45.28734007775295,101.94471001625061
4500,11520000,valid,3.786407244205475,44.097683124155786,101.9448025226593
4750,12160000,train,3.716950464248657,41.13874854121579,107.40599274635315
4750,12160000,valid,3.6881152153015138,39.969442125747165,107.40606379508972
5000,12800000,train,3.6873026847839356,39.93697892470623,113.10334014892578
5000,12800000,valid,3.6910147786140444,40.08550423716173,113.10341453552246
5250,13440000,train,3.79290611743927,44.38520163791728,118.64725995063782
5250,13440000,valid,3.790470600128174,44.277232245004946,118.64733910560608
5500,14080000,train,3.6519517302513123,38.54983154619614,124.04345059394836
5500,14080000,valid,3.616750884056091,37.21645060362935,124.04353141784668
5750,14720000,train,3.5236838698387145,33.90911542514427,129.68375492095947
5750,14720000,valid,3.5967257142066957,36.47859733450773,129.68383622169495
6000,15360000,train,3.4717103958129885,32.19175602856381,135.36327385902405
6000,15360000,valid,3.521670031547546,33.8408966639136,135.3633542060852
6250,16000000,train,3.5324999928474425,34.20938401542553,141.1242036819458
6250,16000000,valid,3.5296130061149595,34.110764402900045,141.12428545951843
6500,16640000,train,3.4211495757102965,30.60457708489135,146.53006076812744
6500,16640000,valid,3.389342260360718,29.646446213280285,146.5301423072815
6750,17280000,train,3.331754720211029,27.987408712932666,152.18645930290222
6750,17280000,valid,3.3873898148536683,29.588619612584328,152.18656206130981
7000,17920000,train,3.41447194814682,30.40089194101777,157.8711977005005
7000,17920000,valid,3.402710795402527,30.04543678586672,157.8712775707245
7250,18560000,train,3.3677616834640505,29.013512898120627,163.50091886520386
7250,18560000,valid,3.2921643257141113,26.901023271421995,163.50100564956665
7500,19200000,train,3.3337446808815003,28.043158006593696,169.1717050075531
7500,19200000,valid,3.3149210572242738,27.52022137614967,169.17277264595032
7750,19840000,train,3.37986216545105,29.366723085286186,174.65881323814392
7750,19840000,valid,3.3489004135131837,28.471409647892685,174.65889072418213
8000,20480000,train,3.2529131531715394,25.865580668423814,180.06253504753113
8000,20480000,valid,3.2747949957847595,26.43780506349788,180.06261706352234
8250,21120000,train,3.26129150390625,26.083201955933564,185.8626194000244
8250,21120000,valid,3.2506704211235045,25.80763610307226,185.8627004623413
8500,21760000,train,3.2443365931510924,25.64469155174134,191.4995641708374
8500,21760000,valid,3.182059419155121,24.096326925604707,191.4996428489685
8750,22400000,train,3.2319375395774843,25.32868478817971,197.14903593063354
