step,tokens_processed,split,loss,perplexity,wallclock_sec
1,2560,train,9.274451160430909,10662.105160338531,1.2446284294128418
1,2560,valid,9.276646757125855,10685.540561119513,1.2447218894958496
250,640000,train,4.3326565504074095,76.14630461136143,7.03611421585083
250,640000,valid,4.2821194410324095,72.39371172788795,7.036193132400513
500,1280000,train,3.7603909373283386,42.96521940404604,13.017059803009033
500,1280000,valid,3.7185988903045653,41.20661865027802,13.017131328582764
750,1920000,train,3.4566925525665284,31.71191737192142,19.04355525970459
750,1920000,valid,3.4351757884025576,31.036868007459734,19.043636560440063
1000,2560000,train,3.277522695064545,26.510017887989353,25.058993577957153
1000,2560000,valid,3.2575581192970278,25.98600488111931,25.059072732925415
1250,3200000,train,3.1431466579437255,23.17668132593403,31.32608389854431
1250,3200000,valid,3.098157489299774,22.15708897486114,31.326162815093994
1500,3840000,train,3.0296278595924377,20.689531745804686,37.367671966552734
1500,3840000,valid,2.9895042419433593,19.875826447566208,37.3677659034729
1750,4480000,train,2.9307098388671875,18.740928815963343,44.50139117240906
1750,4480000,valid,2.8434796571731566,17.175426272726796,44.501474380493164
2000,5120000,train,2.8513880491256716,17.311794792759446,50.66755223274231
2000,5120000,valid,2.7889250040054323,16.263527174650644,50.6676344871521
2250,5760000,train,2.7629950881004333,15.847235807329229,56.95892024040222
2250,5760000,valid,2.748606300354004,15.620845938727387,56.95899319648743
2500,6400000,train,2.7569500207901,15.751727169110795,63.061359167099
2500,6400000,valid,2.733383071422577,15.384847114607918,63.06143498420715
2750,7040000,train,2.6080191135406494,13.572139339263801,69.21231818199158
2750,7040000,valid,2.6320844769477842,13.902719617694814,69.21240401268005
3000,7680000,train,2.5495463728904726,12.801295450700707,75.34902429580688
3000,7680000,valid,2.58323187828064,13.239858700452329,75.34909796714783
3250,8320000,train,2.562704026699066,12.970843445391798,81.61712956428528
3250,8320000,valid,2.5618828654289247,12.960196663074287,81.61720848083496
3500,8960000,train,2.5879008531570435,13.301819802948158,87.64962720870972
3500,8960000,valid,2.5513521075248717,12.824432076277521,87.64971089363098
3750,9600000,train,2.5244902849197386,12.48453008827572,93.97447562217712
3750,9600000,valid,2.4744596242904664,11.875288261639588,93.9745569229126
4000,10240000,train,2.4753074765205385,11.885361020777214,100.17533946037292
4000,10240000,valid,2.3815632939338682,10.82180731290303,100.17542386054993
4250,10880000,train,2.4339547991752624,11.403893123636456,106.49363207817078
4250,10880000,valid,2.4913307309150694,12.077337117515919,106.494624376297
4500,11520000,train,2.4618289470672607,11.7262386092346,112.47268295288086
4500,11520000,valid,2.4095108032226564,11.128515779190385,112.47276449203491
4750,12160000,train,2.435313713550568,11.419400572197599,118.3733229637146
4750,12160000,valid,2.386804437637329,10.878674855465167,118.37340760231018
5000,12800000,train,2.3630817532539368,10.623640495445738,124.28935647010803
5000,12800000,valid,2.3924724102020263,10.940509960382963,124.28943586349487
5250,13440000,train,2.3527250051498414,10.514181922714556,130.32264685630798
5250,13440000,valid,2.3494562029838564,10.479869253288857,130.32272863388062
5500,14080000,train,2.388498675823212,10.897121543946598,136.4354739189148
5500,14080000,valid,2.3176652789115906,10.151944656517818,136.435551404953
5750,14720000,train,2.3116899728775024,10.09146455386494,142.62990975379944
5750,14720000,valid,2.363808310031891,10.631361978162383,142.62998914718628
6000,15360000,train,2.2772717475891113,9.750043510245801,148.5500030517578
6000,15360000,valid,2.342388427257538,10.406061025015306,148.55120706558228
6250,16000000,train,2.3118128657341,10.092704798978291,154.62659215927124
6250,16000000,valid,2.2928619742393495,9.903239979337583,154.6266782283783
6500,16640000,train,2.2534460365772246,9.520487320080319,160.83697628974915
6500,16640000,valid,2.257192385196686,9.556221278747648,160.83706068992615
6750,17280000,train,2.2189518094062803,9.197684884571979,166.92168879508972
6750,17280000,valid,2.267519533634186,9.655421138596544,166.92177057266235
7000,17920000,train,2.2541399955749513,9.527096440883021,172.87884521484375
7000,17920000,valid,2.207598423957825,9.093850573666874,172.87893271446228
7250,18560000,train,2.2590453028678894,9.57394458486773,179.16919684410095
7250,18560000,valid,2.182527720928192,8.868695537191007,179.16927862167358
7500,19200000,train,2.236653780937195,9.361951674036046,185.3237612247467
7500,19200000,valid,2.2325419962406157,9.323536376252612,185.32384490966797
7750,19840000,train,2.2437565445899965,9.428684115937163,191.23346185684204
7750,19840000,valid,2.207351005077362,9.09160086166093,191.23353552818298
8000,20480000,train,2.198395276069641,9.010542458418085,197.0940887928009
8000,20480000,valid,2.239521485567093,9.388837518101155,197.09416842460632
8250,21120000,train,2.1684460759162905,8.74468490098981,203.09660601615906
8250,21120000,valid,2.149688881635666,8.582187905516365,203.09668898582458
8500,21760000,train,2.1990220725536345,9.016192005122937,209.2612109184265
8500,21760000,valid,2.1367152333259583,8.471564762407754,209.26128554344177
8750,22400000,train,2.2207087755203245,9.213859109863984,215.6862404346466
8750,22400000,valid,2.169240564107895,8.751635210486768,215.68632054328918
9000,23040000,train,2.1519665360450744,8.60175744150161,221.6302638053894
9000,23040000,valid,2.157640737295151,8.65070428010886,221.6303472518921
9250,23680000,train,2.1976241290569307,9.003596683969189,227.66586565971375
9250,23680000,valid,2.177729767560959,8.82624586677877,227.6676471233368
9500,24320000,train,2.1512987673282624,8.596015374372342,233.55921936035156
9500,24320000,valid,2.1944552063941956,8.975110142054012,233.55930089950562
9750,24960000,train,2.151588946580887,8.59851012163367,239.49842238426208
9750,24960000,valid,2.1472727060317993,8.561476863304474,239.49850726127625
10000,25600000,train,2.1001923382282257,8.167740730279329,245.4146249294281
10000,25600000,valid,2.1221440196037293,8.349018771844792,245.4147012233734
10250,26240000,train,2.1088934779167174,8.239119471171716,251.7645342350006
10250,26240000,valid,2.1001120507717133,8.167084989474874,251.76461720466614
10500,26880000,train,2.065041017532349,7.885621339749851,258.82369565963745
