step,tokens_processed,split,loss,perplexity,wallclock_sec
1,2560,train,9.270023202896118,10614.998182274407,1.23488450050354
1,2560,valid,9.271901845932007,10634.958718175834,1.234971284866333
250,640000,train,4.696940064430237,109.61125539272663,6.739405393600464
250,640000,valid,4.645845127105713,104.15134973012377,6.739498138427734
500,1280000,train,3.9259352684020996,50.70047444293145,12.372211456298828
500,1280000,valid,3.8832411408424377,48.58141939563475,12.372284889221191
750,1920000,train,3.6173587918281553,37.23908165129787,18.296650886535645
750,1920000,valid,3.592016363143921,36.30721069007078,18.296738147735596
1000,2560000,train,3.4372182965278624,31.100325847064163,24.266860723495483
1000,2560000,valid,3.418509078025818,30.52387236716536,24.26694369316101
1250,3200000,train,3.2766757249832152,26.487574201889714,30.11287260055542
1250,3200000,valid,3.2310952305793763,25.307359191704133,30.112953662872314
1500,3840000,train,3.1590840935707094,23.549017352201616,35.80428767204285
1500,3840000,valid,3.113710677623749,22.50439621872808,35.804370641708374
1750,4480000,train,3.0589269757270814,21.304684449192617,41.64828848838806
1750,4480000,valid,2.966914641857147,19.431872723873,41.64836645126343
2000,5120000,train,2.9705655455589293,19.502946282346496,47.260191440582275
2000,5120000,valid,2.9121867775917054,18.396984725861387,47.26027321815491
2250,5760000,train,2.8739532232284546,17.706879267080268,53.015135526657104
2250,5760000,valid,2.864997756481171,17.549013832999456,53.01521921157837
2500,6400000,train,2.8502310037612917,17.291775844494403,58.82473635673523
2500,6400000,valid,2.8276743412017824,16.906097255342196,58.824827909469604
2750,7040000,train,2.7005205392837524,14.88747922603174,64.63210916519165
2750,7040000,valid,2.725414764881134,15.262743064029245,64.63218712806702
3000,7680000,train,2.6269084572792054,13.830944781732518,70.60965824127197
3000,7680000,valid,2.661622095108032,14.319497857605846,70.60974526405334
3250,8320000,train,2.656285214424133,14.243279969877795,76.54591059684753
3250,8320000,valid,2.668317234516144,14.415690544422185,76.5459930896759
3500,8960000,train,2.678993558883667,14.570421642618246,82.09117913246155
3500,8960000,valid,2.636043834686279,13.957874575250163,82.09126305580139
3750,9600000,train,2.605179214477539,13.533650511530514,89.97633409500122
3750,9600000,valid,2.5564287424087526,12.889702572580708,89.9764130115509
4000,10240000,train,2.550528335571289,12.813872018949155,95.71042943000793
4000,10240000,valid,2.457300937175751,11.6732621143823,95.71050572395325
4250,10880000,train,2.518352818489075,12.40814136037013,101.51066780090332
4250,10880000,valid,2.562812554836273,12.972251223259303,101.51181697845459
4500,11520000,train,2.534801697731018,12.613929229219824,107.03971910476685
4500,11520000,valid,2.4920725584030152,12.086299742120511,107.03980326652527
4750,12160000,train,2.5127553820610045,12.338881597308403,112.64613699913025
4750,12160000,valid,2.465972399711609,11.774926521981735,112.64622402191162
5000,12800000,train,2.439086413383484,11.462563912796007,118.38870692253113
5000,12800000,valid,2.4690329670906066,11.811019682586048,118.38879561424255
5250,13440000,train,2.4300473809242247,11.35942028708284,124.30830025672913
5250,13440000,valid,2.423561668395996,11.285984750920656,124.30838084220886
5500,14080000,train,2.4528268337249757,11.621151393380478,130.01152348518372
5500,14080000,valid,2.39276727437973,10.943736400513524,130.01159763336182
5750,14720000,train,2.391267478466034,10.927335331581912,135.73514580726624
5750,14720000,valid,2.445215404033661,11.533033593254371,135.73522305488586
6000,15360000,train,2.3488234639167787,10.473240328005597,141.19864511489868
6000,15360000,valid,2.4206560373306276,11.253239438961154,141.1987292766571
6250,16000000,train,2.3803629875183105,10.808825620720228,146.97804141044617
6250,16000000,valid,2.3707733392715453,10.705668197299365,146.97811937332153
6500,16640000,train,2.331782066822052,10.29627384149622,152.72531247138977
6500,16640000,valid,2.326310396194458,10.240089872605292,152.7253921031952
6750,17280000,train,2.2962001085281374,9.936353562327001,158.4611566066742
6750,17280000,valid,2.3442246556282043,10.425186483477209,158.46123695373535
7000,17920000,train,2.3225643634796143,10.2018019196755,164.03613328933716
7000,17920000,valid,2.2851345539093018,9.827008397460189,164.03621673583984
7250,18560000,train,2.325938892364502,10.23628634655452,169.96243405342102
7250,18560000,valid,2.2502147436141966,9.489773485820843,169.96383094787598
