step,tokens_processed,split,loss,perplexity,wallclock_sec
6250,16000000,valid,2.1315680503845216,8.42807209715043,158.12871551513672
6500,16640000,train,2.0979972183704376,8.149831224356564,164.47854733467102
6500,16640000,valid,2.0935312628746034,8.113515593165234,164.47862267494202
6750,17280000,train,2.064056044816971,7.877858041832355,171.44610619544983
6750,17280000,valid,2.111921763420105,8.264107693866983,171.44618964195251
7000,17920000,train,2.097515171766281,8.14590357262206,177.36914944648743
7000,17920000,valid,2.050156444311142,7.769116445308325,177.36922979354858
7250,18560000,train,2.1052313804626466,8.209002192595605,183.7668297290802
7250,18560000,valid,2.0301418960094453,7.615166843906308,183.766921043396
7500,19200000,train,2.0886898577213286,8.074329710868014,190.30026364326477
7500,19200000,valid,2.0880379021167754,8.069067321968367,190.3003499507904
7750,19840000,train,2.0961725294589995,8.13497387683231,196.44373083114624
7750,19840000,valid,2.0833397924900057,8.031246870981537,196.4438157081604
8000,20480000,train,2.0447277307510374,7.727054412177016,202.5640001296997
8000,20480000,valid,2.0912858963012697,8.095318213999002,202.5640869140625
8250,21120000,train,2.0269541680812835,7.590930413976084,208.89730262756348
8250,21120000,valid,2.011518508195877,7.474659064945741,208.89738869667053
8500,21760000,train,2.055826687812805,7.813294358743238,215.4127676486969
8500,21760000,valid,2.0040137648582457,7.418773632335229,215.41285848617554
8750,22400000,train,2.08710834980011,8.06157018677543,221.87640595436096
8750,22400000,valid,2.0376745760440826,7.672746049759496,221.87648129463196
9000,23040000,train,2.0040315270423887,7.418905407128903,227.84682369232178
9000,23040000,valid,2.0157211899757383,7.506138781690378,227.84690141677856
9250,23680000,train,2.0572440803050993,7.82437671567679,234.03951478004456
9250,23680000,valid,2.0467159748077393,7.742432965280145,234.03959155082703
9500,24320000,train,2.022790914773941,7.559393142201904,240.32717657089233
9500,24320000,valid,2.061812710762024,7.860205182640409,240.32725381851196
9750,24960000,train,2.028977185487747,7.606302542133568,246.31360721588135
9750,24960000,valid,2.018642711639404,7.5281001935011735,246.31368708610535
10000,25600000,train,1.961424219608307,7.109445269530833,252.27654767036438
10000,25600000,valid,1.9896586298942567,7.313036883979615,252.27662634849548
10250,26240000,train,1.982534646987915,7.261124066788513,258.5531585216522
10250,26240000,valid,1.9801584482192993,7.243890675812223,258.5532395839691
10500,26880000,train,1.9466673851013183,7.005302659751205,264.8159558773041
10500,26880000,valid,2.047386312484741,7.747624749738388,264.8160364627838
10750,27520000,train,1.940871036052704,6.964814934196531,270.7596707344055
10750,27520000,valid,1.921508288383484,6.83125420423107,270.75975370407104
11000,28160000,train,2.0046097159385683,7.423196176175086,276.9701249599457
11000,28160000,valid,1.9724436223506927,7.188220340227459,276.9702069759369
11250,28800000,train,1.923079925775528,6.841998899944116,283.01863622665405
11250,28800000,valid,1.9569360971450807,7.077608705156388,283.0187180042267
11500,29440000,train,1.9225859940052032,6.838620253793934,289.0426023006439
11500,29440000,valid,1.9248549103736878,6.854154127091305,289.042680978775
11750,30080000,train,1.9706595540046692,7.1754074967469545,295.00615668296814
11750,30080000,valid,1.94207204580307,6.973184769963107,295.0062348842621
12000,30720000,train,1.979522669315338,7.239286626671682,300.95820903778076
12000,30720000,valid,1.9609803676605224,7.106290428593225,300.9582920074463
12250,31360000,train,1.9651410400867462,7.135918969817352,306.9971628189087
12250,31360000,valid,1.9201919555664062,6.822267915910919,306.9972379207611
12500,32000000,train,1.9851322412490844,7.280010039421688,313.10066628456116
12500,32000000,valid,1.9458275020122529,6.999421494604786,313.1007490158081
12750,32640000,train,1.9669140815734862,7.148582473337912,319.10718512535095
12750,32640000,valid,1.9337047278881072,6.915081340042523,319.1072676181793
13000,33280000,train,1.8954371988773346,6.6554575272130165,324.97059416770935
13000,33280000,valid,1.9359002947807311,6.9302805430202845,324.9706664085388
13250,33920000,train,1.952064448595047,7.04321293305295,331.02842807769775
13250,33920000,valid,1.9611095666885376,7.107208613722429,331.02850580215454
13500,34560000,train,1.9119769215583802,6.76645233033752,337.02431654930115
13500,34560000,valid,1.9513090968132019,7.037894838383052,337.0244035720825
13750,35200000,train,1.9029506504535676,6.705651313223828,342.896591424942
13750,35200000,valid,1.9470685184001923,7.008113283596442,342.8966717720032
14000,35840000,train,1.8999502778053283,6.685562013198877,348.9866292476654
14000,35840000,valid,1.8961938083171845,6.660495014669595,348.9867079257965
14250,36480000,train,1.9207728207111359,6.826231884705478,356.1540973186493
14250,36480000,valid,1.9478677928447723,7.013716928575537,356.15417098999023
14500,37120000,train,1.960876750946045,7.105554136273646,362.1062750816345
14500,37120000,valid,1.9546686708927155,7.061578929409241,362.1063549518585
14750,37760000,train,1.9033894062042236,6.708594101834903,367.95760798454285
14750,37760000,valid,1.9189208447933197,6.813601566777863,367.9576930999756
15000,38400000,train,1.9035668849945069,6.709784840662916,373.9387400150299
15000,38400000,valid,1.8946211755275726,6.650028733779813,373.9388175010681
15250,39040000,train,1.980842649936676,7.248848654188347,380.3581156730652
15250,39040000,valid,1.962709617614746,7.118589612107975,380.3581964969635
15500,39680000,train,1.9243120729923249,6.850434445695892,386.2586917877197
15500,39680000,valid,1.8880094408988952,6.606205541821135,386.2587697505951
15750,40320000,train,1.9420038044452668,6.9727089266024755,392.48444509506226
15750,40320000,valid,1.8876018524169922,6.6035134771977395,392.4845280647278
16000,40960000,train,1.940239381790161,6.960416968298704,398.806946516037
16000,40960000,valid,1.8986812472343444,6.677083211686963,398.8070321083069
